240 	 952 	 1.037675 	 0.383840
246 	 952 	 1.065519 	 0.377274
253 	 952 	 1.091914 	 0.382581
260 	 952 	 1.074953 	 0.385710
264 	 952 	 1.187390 	 0.389206
268 	 952 	 1.089270 	 0.387517
276 	 952 	 1.078374 	 0.389985
282 	 952 	 1.068280 	 0.391732
291 	 952 	 1.096544 	 0.396208
307 	 952 	 1.261855 	 0.403003
319 	 952 	 1.124650 	 0.409158
328 	 952 	 1.123874 	 0.411353
350 	 952 	 1.136093 	 0.419909
363 	 952 	 1.138153 	 0.426972
372 	 952 	 1.128681 	 0.431273
389 	 952 	 1.180373 	 0.440539
396 	 952 	 1.170484 	 0.441126
411 	 952 	 1.172318 	 0.454399
427 	 952 	 1.170031 	 0.463303
443 	 952 	 1.192505 	 0.461799
453 	 952 	 1.187586 	 0.464098
482 	 952 	 1.216978 	 0.480153
510 	 952 	 1.244240 	 0.491595
537 	 952 	 1.240008 	 0.499627
563 	 952 	 1.264440 	 0.527642
610 	 952 	 1.309952 	 0.527302
641 	 952 	 1.352352 	 0.567009
682 	 952 	 1.345677 	 0.554145
721 	 952 	 1.384683 	 0.582013
776 	 952 	 1.475676 	 0.602787
831 	 952 	 1.496303 	 0.628891
894 	 952 	 1.535265 	 0.639629
975 	 952 	 1.584142 	 0.685253
1058 	 952 	 1.656215 	 0.721288
1163 	 952 	 1.747837 	 0.750266
1314 	 952 	 1.831898 	 0.847361
